contentid,title,createdtime,modifiedtime,tel,telname,homepage,firstimage,firstimage2,addr1,addr2,mapx,mapy,mlevel,overview
604454,고창모양성제,20080806013158,20250811104808,063-560-2949,고창군,"<a href=""https://www.xn--v52bo3j80dp4c.com/"" target=""_blank"" title=""새창 : @@@축제 홈페이지 이동"">www.모양성제.com/</a>",http://tong.visitkorea.or.kr/cms/resource/30/3519730_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/3519730_image3_1.jpg,전북특별자치도 고창군 고창읍 모양성로 11,고창읍성,126.7035138626,35.4331888616,6,"고창모양성제는 국내에서 가장 원형이 잘 보존된 모양성을 주제로 한 역사문화축제이다. 대표프로그램은 답성놀이로서 한바퀴 돌면 다릿병이 낫고, 두바퀴돌면 무병장수하며, 세 바퀴돌면 극락승천 한다는 전설을 체험형 프로그램으로 개발했다. 이 외에도, 답성놀이와 강강술래를 혼합하여 군민과 관광객이 함께 어우러진 야간답성강강술래달밤, 과거현재미래를 표현한 주민 1,000여명이 참여하는 거리 퍼레이드, 과거로의 여행을 주제로 하여 고창읍성 내부를 누비며 즐길 수 있는 리턴즈1453, 그리고 고창지역의 특산물을 활용한 먹거리와 직거래장터 등을 운영한다."
2740109,고창청농원 핑크뮬리축제,20210906201849,20250829145056,010-8801-7722<br>010-6383-5294,고창 청농원,"<a href=""https://blog.naver.com/gobluefarm"" target=""_blank"" title=""새창 : 고창청농원 핑크뮬리시즌 축제 홈페이지 이동"">https://blog.naver.com/gobluefarm</a>",http://tong.visitkorea.or.kr/cms/resource/71/3513971_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/3513971_image3_1.jpg,전북특별자치도 고창군 공음면 청천길 41-27,고창청농원,126.5351164345,35.3734178114,6,"전라북도 고창군 공음면에 위치한 고창청농원에서 가을을 맞아 핑크뮬리시즌을 개최한다. 
마을의 옛 이름인 맑은 개을가 마을이라는 뜻의 '청천(凊川) 마을'에서 따온 말인 고창청농원은 2만여평의 넓은 공간에 옛 정취를 그대로 간직한 한옥 술암제, 한 숨을 돌릴 수 있는 대형 카페 , 넘실대는 분홍빛 물결의 핑크뮬리 정원, 보랏빛 향기를 머금은 라벤더 정원(5월-6월경),수국정원 등 계절별 꽃들이 조성되어 있는 관광농원이다. 청농원의 핑크뮬리 정원은 약 5000여평에 걸친 분홍 갈대밭과 가을에 만나볼 수 있는 꽃들로 만개시기엔 넘실대는 핑크빛 물결로 장관을 이룬다.  걷는 동안 지루하지 않게 곳곳에 있는 포토존에서 사진 찍는 재미와 핑크뮬리뿐만 아니라 다양한 꽃들도 같이 구경할 수 있어 가을 감성을 듬뿍 느낄 수 있다.
한옥의 넓은 마당에서 아이들은 반려동물과 함께 뛰어놀고 산책하기 좋은 대나무 숲에서 바람에 이는 나뭇잎 소리를 벗삼아 공기 맑고 깨끗한 자연 속에서 편히 쉬었다 가시는 공간이 되길 소망한다."
1846797,군산시간여행축제,20130925221201,20250319191659,063-454-3304,군산시,"<a href=""https://festival.gunsan.go.kr/"" target=""_blank"" title=""새창:군산시간여행축제 홈페이지로 이동"">http://festival.gunsan.go.kr</a>",http://tong.visitkorea.or.kr/cms/resource/03/3352003_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/03/3352003_image3_1.png,전북특별자치도 군산시 중앙로1가,11-1 구시청광장,126.7117073071,35.9877870048,6,"군산시간여행축제는 일제강점기 민중의 항거와 치열한 삶의 역사를 담고있는 근대 군산을 중심으로 군산의 과거, 현재, 미래로의 시간여행을 떠나는 축제이다.
군산근대문화를 기반으로 한 다양한 프로그램들이 펼쳐지며, 시민들이 함께 만드는 퍼레이드와 퍼포먼스 경연대회 및 근대군산의 역사적 스토리를 담은 군산대한독립만세 미션게임과 우리모두 3.5만세 등이 진행된다. 길거리에서 자유롭게 즐기는 거리형 공연과, 체험, 다양한 놀거리와 먹거리까지 모두 경험할 수 있는 가족이 다함께 즐길 수 있는 축제로 운영된다."
2736064,김제 국가유산 야행,20210823201720,20250827113713,063-540-3517,김제시,,http://tong.visitkorea.or.kr/cms/resource/19/3354719_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/3354719_image3_1.jpg,전북특별자치도 김제시 동헌4길 46-1 (교동),사적 김제군 관아와 향교,126.8821413702,35.8007501353,6,"2025년 국가유산 야행(夜行)은 김제시 교동 일원, 사적'김제군 관아와 향교' 에서 개최되는 국가유산(구. 문화재)을 활용한 행사이다.
조선시대 행정기관(관아) 및 교육기관(향교)을 활용한 프로그램 운영을 통해 국가유산에 대한 시민 관심 제고 및 시민 문화 향유 기회를 제공한다."
574285,김제지평선축제,20080613234803,20250804112145,063-540-3037,김제시,"<a href=""https://festival.gimje.go.kr/"" target=""_blank"" title=""새창 : 김제지평선축제 홈페이지 이동"">https://festival.gimje.go.kr/</a>",http://tong.visitkorea.or.kr/cms/resource/54/3516354_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/3516354_image3_1.jpg,전북특별자치도 김제시 부량면 벽골제로 442,,126.8522869016,35.7540632714,6,"*하기 축제 먹거리 정보는 전년도(2024년) 정보로, 2025년도 축제 먹거리 정보는 업데이트 중에 있습니다.*<br><br>문화체육관광부가 지정한 대한민국 명예대표 문화관광축제 중 유일하게 전통농경문화를 주제로 개최하는 김제지평선축제는 우리나라 최고(最古), 최대(最大) 수리시설인 김제 벽골제를 중심으로 진행된다. 지평선을 무대로 개최되는 대통령배 전국 농악경연대회를 비롯한 다양한 볼거리와 아궁이 쌀밥 짓기, 메뚜기 잡기, 벼 베기 체험 등 각종 농경문화체험프로그램과 벽골제 전설 쌍룡놀이, 풍년기원 입석 줄다리기 등 전통행사도 현장에서 직접 참여할 수 있다."
3347609,남원국제드론제전 with 로봇,20240813170607,20250826151359,063-620-6693,전북특별자치도 남원시,,http://tong.visitkorea.or.kr/cms/resource/90/3526990_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/90/3526990_image3_1.png,전북특별자치도 남원시 충정로 341 (월락동),남원종합스포츠타운 일원,127.4048573847,35.4285902786,6,"남원 국제드론제전 with 로봇이 10월 16~19일 남원종합스포츠타운에서 개최된다. 올해는 국토교통부 주관 국제 DFL 레이싱 대회가 함께 열려, 세계 최정상급 드론 레이서들이 박진감 넘치는 경기를 펼칠 예정이다. 드론·로봇 전시 및 체험, 기술 컨퍼런스, 드론 퍼포먼스 쇼 등 다양한 프로그램도 마련된다. 남원 글로벌 푸드 페스티벌에서는 세계 각국의 다양한 음식을 맛볼 수 있으며, 미래 기술과 문화가 어우러지는 다양한 체험이 행사장 안에 가득할 예정이다."
506523,무주반딧불축제,20080307183206,20250828160849,063-324-2440,무주군,"<a href=""https://www.firefly.or.kr/"" target=""_blank"" title=""새창:무주반딧불축제 홈페이지로 이동"">https://www.firefly.or.kr/</a>",http://tong.visitkorea.or.kr/cms/resource/69/3520569_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/3520569_image3_1.jpg,전북특별자치도 무주군 무주읍 한풍루로 326-17,,127.6625943629,36.0023852718,6,"무주반딧불축제는 반딧불이와 자연을 테마로 한 대한민국의 대표적인 환경 축제이다. 매년 8월말에서 9월초에 열리는 무주반딧불축제는 청정 자연 속에서 반딧불이가 뿜어내는 신비로운 불빛을 직접 관찰하며 자연의 소중함을 느낄 수 있는 특별한 경험을 선사하는 것이 특징이다. 축제 기간에는 다양한 생태 체험 프로그램, 전통 문화 행사, 공연프로그램, 불꽃놀이 등 다채로운 볼거리와 즐길 거리가 마련되는데 특히, 반딧불이 신비탐사는 축제의 하이라이트로 많은 방문객에게 잊지 못할 추억을 선사하는 프로그램이다."
2841087,부안국가유산야행,20220822175654,20250826110735,063-278-5714,"국가유산청, 전북특별자치도, 부안군","<a href=""http://www.부안야행.com"" target=""_blank"" title=""새창 : 부안국가유산야행 축제 홈페이지 이동"">http://www.부안야행.com</a>",http://tong.visitkorea.or.kr/cms/resource/09/3526909_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/3526909_image3_1.jpg,전북특별자치도 부안군 부안읍 당산로 91,,126.7330897643,35.7317582207,6,"부안국가유산야행은 전북특별자치도 부안군청 일원에서 열리는 야간형 프로그램이다. 지역의 특색 있는 역사문화자원을 기반으로 하여 부안 위도띠뱃놀이, 동문안당산, 서문안당산, 구 부안금융조합, 서외리당간, 남문안당산, 부안향교대성전 등 주요 국가유산을 대상으로 운영된다. 행사는 ‘야경, 야로, 야사, 야화, 야설, 야시, 야식, 야숙’ 등 8야(夜) 주제를 바탕으로 전시, 공연, 체험, 미식 프로그램을 구성한다. 운영 시간은 오후 6시부터 오후 11시까지이며, 방문객은 무료로 참여할 수 있다. 축제는 부안의 밤을 국가유산과 함께 즐기는 체험의 장으로서, 당산제 재현과 부안농악 공연을 비롯해 다양한 무형유산과 지역 문화가 어우러지는 것이 특징이다. 다양한 프로그램이 준비되어 있으며, 부안의 역사와 바다를 테마로 한 독창적인 야간 문화 향유 기회를 제공한다."
2933008,부안붉은노을축제,20221215113535,20250813165813,063-580-4774,부안군,,http://tong.visitkorea.or.kr/cms/resource/77/3343477_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/3343477_image3_1.jpg,전북특별자치도 부안군 변산면 대항리,567,126.5272901102,35.6753000532,6,"10월 24일부터 26일까지 3일간 변산해수욕장에서 열리는 「부안 붉은노을축제」는 타오르는 부안의 붉은 노을을 테마로 한 축제이다. 레드와인 페스타, 재즈 페스티벌, 부안 붉은노을 동요제, 카이트 카니발(대형 연) 등 다양한 연계 행사가 준비되어 있으며, 가족과 연인 등 방문객들에게 선선한 변산해수욕장의 바람과 타오르는 노을과 함께 잊지 못할 추억을 선사할 예정이다."
3395188,순창 코리아 떡볶이 페스타,20241022153724,20250807171433,063-653-1827,"순창군, 한국관광공사, 전주대학교","<a href=""https://www.sftf.or.kr/"" target=""_blank"" title=""새창 : 순창 떡볶이 페스타 홈페이지 이동"">www.sftf.or.kr</a>",http://tong.visitkorea.or.kr/cms/resource/39/3515039_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/3515039_image3_1.jpg,전북특별자치도 순창군 순창읍 장류로 55,순창발효테마파크 및 전통고추장민속마을 일원,127.1123375755,35.3687947722,6,"K-FOOD를 대표하는 아이콘인 떡볶이를 주제로 지역 특화 축제가 발효의 고장 순창에서 열린다. 이 축제는 지역의 전통장을 활용한 이색적인 떡볶이 레시피를 중심으로, 전시·시식·체험·포토존 등 다양한 콘텐츠를 결합해 미식과 관광의 융합을 이룬다. 순창 고유의 발효 문화와 K-FOOD의 대중성을 접목해 남녀노소 누구나 즐길 수 있는 다채로운 즐길 거리를 제공하며, 가족 단위 방문객은 물론 MZ세대까지 아우르는 오감만족형 콘텐츠로 구성되어 있다. 맛의 재미는 물론, 사진으로 남기기 좋은 포토존과 체험형 콘텐츠를 통해 공유하고 싶은 특별한 순간을 선사하며 지역경제 활성화에도 기여하는 대표 먹거리 축제이다."
