region,contentid,title,addr1,start_date,end_date,tel,image,progresstype,festivaltype,acmpyPsblCpam,relaRntlPrdlst,relaFrnshPrdlst,acmpyNeedMtr,etcAcmpyInfo,relaPurcPrdlst,relaAcdntRiskMtr,acmpyTypeCd,relaPosesFclty
전북특별자치도,604454,고창모양성제,전북특별자치도 고창군 고창읍 모양성로 11,20251029,20251102,063-560-2949,http://tong.visitkorea.or.kr/cms/resource/30/3519730_image2_1.jpg,선택안함,선택안함,,,,,,,,,
전북특별자치도,2740109,고창청농원 핑크뮬리축제,전북특별자치도 고창군 공음면 청천길 41-27,20250919,20251116,010-8801-7722<br>010-6383-5294,http://tong.visitkorea.or.kr/cms/resource/71/3513971_image2_1.jpg,선택안함,선택안함,,,,,,,,,
전북특별자치도,1846797,군산시간여행축제,전북특별자치도 군산시 중앙로1가,20251009,20251012,063-454-3304,http://tong.visitkorea.or.kr/cms/resource/03/3352003_image2_1.png,선택안함,선택안함,,,,,,,,,
전북특별자치도,2736064,김제 국가유산 야행,전북특별자치도 김제시 동헌4길 46-1 (교동),20250905,20250907,063-540-3517,http://tong.visitkorea.or.kr/cms/resource/19/3354719_image2_1.jpg,선택안함,선택안함,,,,,,,,,
전북특별자치도,574285,김제지평선축제,전북특별자치도 김제시 부량면 벽골제로 442,20251008,20251012,063-540-3037,http://tong.visitkorea.or.kr/cms/resource/54/3516354_image2_1.jpg,선택안함,선택안함,,,,,,,,,
전북특별자치도,3347609,남원국제드론제전 with 로봇,전북특별자치도 남원시 충정로 341 (월락동),20251016,20251019,063-620-6693,http://tong.visitkorea.or.kr/cms/resource/90/3526990_image2_1.png,,,,,,,,,,,
전북특별자치도,506523,무주반딧불축제,전북특별자치도 무주군 무주읍 한풍루로 326-17,20250906,20250914,063-324-2440,http://tong.visitkorea.or.kr/cms/resource/69/3520569_image2_1.jpg,선택안함,선택안함,,,,,,,,,
전북특별자치도,2841087,부안국가유산야행,전북특별자치도 부안군 부안읍 당산로 91,20250919,20250920,063-278-5714,http://tong.visitkorea.or.kr/cms/resource/09/3526909_image2_1.jpg,선택안함,선택안함,,,,,,,,,
전북특별자치도,2933008,부안붉은노을축제,전북특별자치도 부안군 변산면 대항리,20251024,20251026,063-580-4774,http://tong.visitkorea.or.kr/cms/resource/77/3343477_image2_1.jpg,선택안함,선택안함,,,,,,,,,
전북특별자치도,3395188,순창 코리아 떡볶이 페스타,전북특별자치도 순창군 순창읍 장류로 55,20251115,20251116,063-653-1827,http://tong.visitkorea.or.kr/cms/resource/39/3515039_image2_1.jpg,,,,,,,,,,,
