contentid,sponsor1,sponsor1tel,sponsor2,eventenddate,playtime,eventplace,eventstartdate,usetimefestival,progresstype,festivaltype
604454,고창군,063-560-2949,,20251102,10:00~22:00,,20251029,무료,선택안함,선택안함
2740109,고창 청농원,010-8801-7722<br>010-6383-5294,,20251116,9:00-18:00,,20250919,유료 (5000원/초등생 - 2013년생까지 무료),선택안함,선택안함
1846797,군산시,063-454-3304,군산시간여행축제 추진위원회,20251012,10:00~22:00,구시청광장,20251009,무료(일부 유료),선택안함,선택안함
2736064,김제시,063-540-3517,,20250907,,18:00~22:00,20250905,무료 (부분유료체험),선택안함,선택안함
574285,김제시,063-540-3037,(사)김제시지평선축제제전위원회,20251012,09:00 ~ 21:00,김제시 일원(벽골제 중심),20251008,무료 (일부 유료),선택안함,선택안함
3347609,전북특별자치도 남원시,063-620-6693,,20251019,9:00~20:00,남원종합스포츠타운 일원,20251016,무료,,
506523,무주군,063-324-2440,(사)무주반딧불축제위원회,20250914,10:00~22:00,예체문화관,20250906,무료 (일부유료),선택안함,선택안함
2841087,"국가유산청, 전북특별자치도, 부안군",063-278-5714,,20250920,18:00~23:00,부안군청 일원,20250919,무료,선택안함,선택안함
2933008,부안군,063-580-4774,부안군대표축제추진위원회,20251026,10:00~22:00,변산해수욕장 일원,20251024,무료,선택안함,선택안함
3395188,"순창군, 한국관광공사, 전주대학교",063-653-1827,순창발효관광재단,20251116,10:00~17:00,,20251115,입장료 무료,,
638241,순창군,063-650-1624,순창장류축제위원회,20251019,09:00~21:00,순창고추장민속마을 및 발효테마파크 내,20251017,"입장료 무료(공연, 행사프로그램 일부 체험부스) <br>유료(먹거리부스, 푸드트럭, 체험판매부스) <br>* 빨간옷을 입은 관광객 일부 할인",선택안함,선택안함
1336591,완주군,063-290-3976~8,완주와일드&로컬푸드축제추진위원회,20250928,10:00~22:00,완주 고산자연휴양림 일원,20250926,무료,선택안함,선택안함
2031318,임실N치즈축제제전위원회,063-643-3900,,20251012,,"임실치즈테마파크, 임실치즈마을, 임실읍  일원",20251008,입장료 무료<br>체험비 유료 (임실N치즈체험 치즈체험관 063-643-2300 50% 할인),선택안함,선택안함
763974,사단법인 장수한우랑사과랑축제추진위원회,063-350-2356,,20250921,10:00~18:00,전북 장수군 장수읍 의암공원 일원,20250918,무료,선택안함,선택안함
1945450,전주시,063-230-1858,,20250907,10:00~18:00,전주한벽문화관 및 완판본문화관 일원,20250905,무료,선택안함,선택안함
2864606,"과학기술정보통신부, 전북특별자치도, 익산시, 정보통신산업진흥원",010-5149-8272,"전북테크노파크, 키엘연구원, 한국전자기술연구원, 전북특별자치도콘텐츠융합진흥원, 원광대학교",20250928,18:00~22:00,익산 교도소 세트장,20250918,무료,선택안함,선택안함
1718060,진안군,063-430-2393,진안홍삼축제추진위원회,20250928,10:00~21:00,마이산 북부 일원,20250926,이용료 없음 (일부체험행사 유료),선택안함,선택안함
2547013,전주시 / 전북특별자치도문화관광재단,063-236-1577 / 010-4348-3130,합굿마을문화생산자협동조합,20251025,매주 토요일 14:30~15:30,전주한옥마을 태조로 (남천교~경기전),20250412,무료,선택안함,선택안함
